4	3
4	2
836790269250	1.286674	858
836790268018	1.247898	601
836790269310	0.630173	856
836790271201	0.510567	577
836790271426	3.203850	330
836790273044	1.922211	320
5	3
836800288569	2.566029	862
836800290609	1.941666	619
836800289702	-0.085091	863
836800291603	-0.117424	628
836800294118	-0.160557	858
836800291485	2.027546	101
836800291290	1.035469	351
836800291251	0.995453	350
4	4
837192570445	1.551250	593
837192571946	0.783894	877
837192571796	0.694103	881
837192565819	-0.613018	623
837192573271	1.556217	69
837192572875	1.474266	376
837192578892	-0.370003	373
837192574965	-0.663139	78
8	5
840448853612	2.048218	625
840448853829	1.861179	597
840448854398	1.347466	880
840448854683	1.165474	879
840448853157	0.700886	835
840448853790	0.228428	583
840448855065	0.171993	833
840448859301	-0.464336	621
840448855741	2.485924	357
840448853375	1.592789	333
840448853157	1.424793	104
840448854343	0.459011	114
840448852617	0.130268	347
2	6
841380931480	2.094597	582
841380932501	1.154591	578
841380930888	2.163670	328
841380930290	2.085228	344
841380930359	1.675476	324
841380932385	1.273865	103
841380932070	0.695042	100
841380935160	-0.754250	97
4	5
846986696971	1.815853	882
846986697243	0.667690	579
846986697412	0.349510	588
846986699988	-0.249302	872
846986696584	1.443542	360
846986699130	1.060261	71
846986697955	0.703960	85
846986698878	-0.173698	357
846986501037	-0.440529	346
3	4
851001493883	1.480782	892
851001492724	0.731495	581
851001494616	0.023029	590
851001493555	1.856888	371
851001495281	0.965607	362
851001493123	0.941223	83
851001509327	-0.729614	374
2	2
853081758462	-0.652557	841
853081640672	-0.669502	891
853081758991	-0.427231	364
853081743610	-0.635048	368
3	5
856790773390	2.485092	855
856790772926	1.580631	849
856790772837	1.522442	598
856790770538	3.528381	89
856790770289	2.962170	92
856790770599	2.812458	350
856790787251	-0.878635	88
856790786195	-1.051743	90
4	3
857208645927	2.013931	836
857208645706	0.973755	615
857208646237	0.396412	617
857208646559	-0.086933	840
857208648545	1.929413	123
857208645696	0.974911	323
857208647649	0.866894	321
3	3
859577046115	1.474407	605
859577050641	-0.114471	833
859577046424	-0.284103	604
859577045454	1.176552	336
859577047646	0.837303	90
859577047446	0.284184	88
3	5
862365238235	1.606853	620
862365238108	1.250004	875
862365238527	0.597336	623
862365239183	1.888962	106
862365238677	1.612232	360
862365237872	1.368118	357
862365240883	0.096596	108
862365278933	-1.055149	115
4	4
866179007004	1.443661	631
866179007107	0.613010	857
866179009927	0.338200	636
866179007117	0.070053	860
866179007106	2.832798	321
866179008741	1.784664	120
866179011955	0.546173	117
866179014536	-0.549343	345
4	4
895776723863	1.127892	880
895776723353	0.898739	601
895776723654	0.717701	879
895776724706	0.424610	577
895776724886	2.189735	71
895776725678	0.714432	373
895776728831	-0.353703	372
895776735026	-0.964695	91
2	6
898978259848	1.495262	622
898978262582	-0.065369	621
898978254539	4.736172	322
898978258171	1.404362	123
898978259567	1.006660	126
898978256818	0.768574	104
898978261811	0.202843	331
898978257004	-0.127388	326
5	3
899315437599	3.405571	889
899315437987	1.852875	614
899315438452	0.859486	610
899315439642	0.311394	893
899315449799	-0.491848	881
899315440654	2.344986	100
899315438976	1.588963	335
899315445054	-0.188751	103
6	6
900881848024	3.363968	626
900881847676	2.343163	893
900881850049	1.377281	635
900881848138	0.999229	616
900881848572	0.495529	889
900881859943	-0.246605	638
900881849903	2.357086	369
900881850728	0.967567	65
900881850444	0.706879	365
900881851800	0.211006	67
900881858608	-0.032009	76
900881853463	-0.748890	89
3	3
903059884524	2.139328	894
903059883913	2.103436	576
903059888866	-0.497852	841
903059884965	3.853519	91
903059887699	0.896820	77
903059893045	-0.300034	328
4	4
915509809361	0.891563	613
915509810348	0.682194	870
915509814035	-0.214321	890
915509815191	-0.459396	611
915509809321	1.526184	109
915509809222	0.784283	360
915509808928	0.683479	370
915509810507	-0.170208	113
4	3
917351108231	3.741245	631
917351107052	1.652248	865
917351112438	0.367653	636
917351109290	0.180515	841
917351108382	2.915546	112
917351109044	1.715405	370
917351110011	0.542408	360
3	3
919237305931	2.661373	872
919237306552	2.305885	600
919237308419	-0.419033	584
919237308748	2.974022	363
919237309274	2.840397	78
919237309303	1.557987	84
4	4
934376065914	3.982712	865
934376068255	2.399563	614
934376072134	0.416126	868
934376082627	-0.351040	841
934376068598	2.667664	117
934376066308	2.107243	344
934376068438	0.701252	346
934376073173	0.048382	116
6	10
945178049667	-0.397758	600
945178060922	-0.527596	592
945178053324	-0.585949	583
