Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
79, 8, 4491, 11.13076, 1, 1.392555, 4, 6.35857, 2, 2.077732, 1, 1.301903, 51.23632, 96.66201, 28.49844, 75.98477, 1, 1
80, 8, 5167, 7.881486, 2, 1.705635, 2, 2.712757, 2, 1.046265, 2, 2.416829, 99.67999, 43.25769, 95.16781, 40.571, 1, 1
81, 9, 30043, 6.68288, 3, 0.996231, 2, 2.349846, 2, 1.371189, 2, 1.965614, 83.83976, 89.29761, 81.69717, 95.48924, 1, 1
82, 7, 6162, 14.71828, 2, 3.492443, 2, 5.216961, 2, 1.364262, 1, 4.644619, 37.04443, 99.42227, 51.95993, 97.917, 1, 1
83, 7, 3409, 6.14951, 1, 0.911137, 2, 1.592175, 2, 2.310329, 2, 1.335869, 104.2215, 10.7659, 89.48654, 15.93333, 1, 0
84, 7, 2870, 6.387082, 1, 1.702305, 2, 2.310059, 2, 0.627499, 2, 1.747219, 45.2278, 35.71797, 44.33452, 34.69226, 1, 1
85, 6, 6096, 4.032776, 2, 0.576351, 2, 1.029328, 1, 0.894279, 1, 1.532818, 28.38993, 15.93878, 27.81303, 12.96767, 1, 1
86, 7, 3019, 5.168903, 2, 1.298115, 1, 1.327526, 2, 0.948349, 2, 1.594913, 21.13607, 54.6063, 27.23734, 47.78701, 1, 1
87, 6, 5026, 8.801373, -1e+06, -1e+06, 2, 5.126061, 2, 1.758465, 2, 1.916847, -1e+06, 10.51873, 25.92093, 40.70755, 1, 1
88, 8, 5549, 8.203091, 1, 2.027546, 2, 2.030922, 2, 1.824242, 3, 2.320381, 67.18493, 43.52317, 84.10822, 42.95366, 1, 1
89, 8, 13073, 4.41357, 2, 0.893078, 2, 1.104263, 2, 0.938232, 2, 1.477997, 10.04659, 88.12949, 2.584099, 80.1686, 0, 1
90, 13, 6684, 13.15209, 2, 1.883804, 3, 4.208981, 4, 3.673489, 4, 3.385819, 65.32362, 54.08952, 44.3667, 75.18594, 0, 1
91, 8, 4870, 10.38822, 3, 1.214657, 3, 5.924374, 2, 3.249188, -1e+06, -1e+06, 53.34499, 38.06412, 48.91368, -1e+06, 1, 1
92, 8, 3404, 5.617816, 2, 1.764221, 2, 1.269844, 2, 1.0172, 2, 1.566551, 19.34608, 67.58507, 22.65244, 65.84005, 1, 1
93, 7, 16603, 5.26941, 1, 0.941223, 3, 2.092881, 2, 0.754524, 1, 1.480782, 15.10137, 97.66351, 7.36829, 104.1514, 1, 0
94, 8, 16962, 12.9608, 4, 4.560173, 1, 2.812458, 1, 1.522442, 2, 4.065723, 21.50352, 42.56371, 16.7879, 1.67195, 0, 1
95, 7, 2849, 7.068383, 1, 1.929413, 2, 1.841805, 2, 1.370167, 2, 1.926998, 62.61689, 23.03546, 52.60424, 36.19209, 1, 1
96, 6, 5187, 3.373872, 2, 1.121487, 1, 1.176552, 2, 1.190304, 1, -0.114471, 40.04637, 13.73603, 29.36445, 24.86364, 1, 1
97, 7, 3011, 8.420101, 2, 1.985558, 2, 2.98035, 2, 2.204189, 1, 1.250004, 96.28212, 66.96008, 94.88358, 84.29839, 1, 1
98, 8, 7532, 7.079216, 2, 2.330837, 2, 2.283455, 2, 1.781861, 2, 0.683063, 87.55899, 25.49227, 102.8792, 27.95748, 1, 0
99, 8, 11673, 4.754711, 2, 1.22504, 2, 0.360729, 2, 1.323349, 2, 1.845593, 20.44321, 85.84317, 26.05147, 93.97437, 0, 1
100, 8, 8043, 9.421116, 3, 3.179596, 3, 4.811627, 2, 1.429893, -1e+06, -1e+06, 62.97529, 47.73676, 82.57543, -1e+06, 0, 1
